Symbol,Name,ReportDate,FiscalDateEnding,Estimate,Currency
NOW,ServiceNow Inc,2023-10-25,2023-09-30,2.56,USD
NRG,NRG Energy Inc,2023-11-06,2023-09-30,4.43,USD
NSC,Norfolk Southern Corp,2023-10-25,2023-09-30,2.8,USD
NTAP,Netapp Inc,2023-11-28,2023-10-31,1.39,USD
NTRS,Northern Trust Corp,2023-10-18,2023-09-30,1.48,USD
NUE,Nucor Corp,2023-10-24,2023-09-30,4.49,USD
NVDA,NVIDIA Corp,2023-11-21,2023-10-31,3.35,USD
NVR,NVR Inc,2023-10-23,2023-09-30,115.61,USD
NWS,News Corp - Class B,2023-11-02,2023-09-30,0.1102,USD
NWSA,News Corp - Class A,2023-11-06,2023-09-30,0.1,USD
NXPI,NXP Semiconductors NV,2023-11-06,2023-09-30,3.59,USD
O,Realty Income Corp,2023-11-06,2023-09-30,0.32,USD
ODFL,Old Dominion Freight Line Inc,2023-10-25,2023-09-30,2.87,USD
OGN,Organon & Company,2023-11-01,2023-09-30,1.08,USD
OKE,Oneok Inc,2023-10-31,2023-09-30,1.05,USD
OMC,Omnicom Group Inc,2023-10-16,2023-09-30,1.84,USD
ON,ON Semiconductor Corp,2023-10-30,2023-09-30,1.34,USD
ORCL,Oracle Corp,2023-12-11,2023-11-30,1.32,USD
ORLY,O`Reilly Automotive Inc,2023-10-25,2023-09-30,10.3,USD
OTIS,Otis Worldwide Corp,2023-10-24,2023-09-30,0.88,USD
OXY,Occidental Petroleum Corp,2023-11-07,2023-09-30,0.8,USD
PANW,Palo Alto Networks Inc,2023-11-15,2023-10-31,1.16,USD
PARA,Paramount Global - Class B,2023-11-02,2023-09-30,0.11,USD
PAYC,Paycom Software Inc,2023-10-30,2023-09-30,1.61,USD
PAYX,Paychex Inc,2023-12-20,2023-11-30,1.07,USD
PCAR,Paccar Inc,2023-10-24,2023-09-30,2.12,USD
PCG,PG&E Corp,2023-10-26,2023-09-30,0.35,USD
PEAK,Healthpeak OP LLC,2023-10-30,2023-09-30,0.1038,USD
PEG,Public Service Enterprise Group Inc,2023-10-31,2023-09-30,0.69,USD
PEP,PepsiCo Inc,2023-10-10,2023-09-30,2.15,USD
PFE,Pfizer Inc,2023-10-31,2023-09-30,0.58,USD
PFG,Principal Financial Group Inc,2023-10-26,2023-09-30,1.7,USD
PG,Procter & Gamble Company,2023-10-18,2023-09-30,1.71,USD
PGR,Progressive Corp,2023-10-13,2023-09-30,1.71,USD
PH,Parker-Hannifin Corp,2023-11-02,2023-09-30,5.3,USD
PHM,PulteGroup Inc,2023-10-24,2023-09-30,2.84,USD
PKG,Packaging Corp Of America,2023-10-23,2023-09-30,1.91,USD
PLD,Prologis Inc,2023-10-17,2023-09-30,0.57,USD
PM,Philip Morris International Inc,2023-10-19,2023-09-30,1.6,USD
PNC,PNC Financial Services Group Inc,2023-10-13,2023-09-30,3.1,USD
PNR,Pentair plc,2023-10-23,2023-09-30,0.87,USD
PNW,Pinnacle West Capital Corp,2023-11-02,2023-09-30,3.3,USD
PODD,Insulet Corporation,2023-11-02,2023-09-30,0.4,USD
POOL,Pool Corporation,2023-10-19,2023-09-30,3.48,USD
PPG,PPG Industries Inc,2023-10-18,2023-09-30,1.93,USD
PPL,PPL Corp,2023-11-02,2023-09-30,0.44,USD
PRU,Prudential Financial Inc,2023-10-31,2023-09-30,3.21,USD
PSA,Public Storage.,2023-10-30,2023-09-30,2.83,USD
PSX,Phillips 66,2023-10-27,2023-09-30,5.05,USD
PTC,PTC Inc,2023-10-31,2023-09-30,1.13,USD
PWR,Quanta Services Inc,2023-11-01,2023-09-30,2.12,USD
PXD,Pioneer Natural Resources Company,2023-10-25,2023-09-30,5.25,USD
PYPL,PayPal Holdings Inc,2023-11-01,2023-09-30,1.23,USD
QCOM,Qualcomm Inc,2023-11-01,2023-09-30,1.91,USD
QRVO,Qorvo Inc,2023-10-31,2023-09-30,1.77,USD
